,2008,2009,2010,2011,2012,2013,2014,2015,2016,country_total,long,lat
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-11.202692,17.873887
Argentina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-38.416097,-63.616672
Australia,0.0,0.0,2.0,0.0,4.0,8.0,24.0,23.0,13.0,74.0,-25.274398,133.775136
Bahrain,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0667,50.5577
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,53.709807,27.953389
Belgium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.503887,4.469936
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,-14.235004,-51.92528
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.565679,104.990963
Canada,0.0,0.0,0.0,1.0,5.0,3.0,3.0,8.0,3.0,23.0,56.130366,-106.346771
China,1.0,0.0,2.0,4.0,10.0,34.0,42.0,27.0,20.0,140.0,35.86166,104.195397
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,49.817492,15.472962
Denmark,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,56.26392,9.501785
Egypt,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,26.820553,30.802498
Finland,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,61.92411,25.748151
France,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,6.0,46.227638,2.213749
Germany,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,16.0,51.165691,10.451526
Greece,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,39.074208,21.824312
Guernsey,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,49.465691,-2.585278
Hong Kong,0.0,1.0,0.0,1.0,1.0,7.0,8.0,13.0,12.0,43.0,22.396428,114.109497
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,47.162494,19.503304
India,0.0,0.0,0.0,1.0,1.0,9.0,4.0,6.0,6.0,27.0,20.593684,78.96288
Indonesia,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,6.0,19.0,-0.789275,113.921327
Iran,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.427908,53.688046
Ireland,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,53.1423672,-7.6920536
Israel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,31.046051,34.851612
Italy,0.0,0.0,1.0,0.0,5.0,11.0,20.0,38.0,34.0,109.0,41.87194,12.56738
Japan,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,9.0,36.204824,138.252924
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48.019573,66.923684
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.023559,37.906193
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29.31166,47.481766
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.854721,35.862285
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,55.169438,23.881275
Malaysia,0.0,0.0,0.0,3.0,1.0,8.0,6.0,2.0,5.0,25.0,4.210484,101.975766
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-20.348404,57.552152
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.634501,-102.552784
Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28.394857,84.124008
Netherlands,0.0,0.0,1.0,0.0,2.0,4.0,11.0,2.0,3.0,23.0,52.132633,5.291266
New Zealand,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,12.0,-40.900557,174.885971
Norway,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,60.472024,8.468946
Pakistan,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,30.375321,69.345116
Philippines,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,4.0,13.0,12.879721,121.774017
Poland,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.919438,19.145136
Portugal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,39.399872,-8.224454
Qatar,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,25.354826,51.183884
Russia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,61.52401,105.318756
Saudi Arabia,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,23.885942,45.079162
Singapore,0.0,2.0,3.0,3.0,5.0,22.0,18.0,27.0,15.0,95.0,1.352083,103.819836
South Africa,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,-30.559482,22.937506
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,35.907757,127.766922
Spain,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,40.463667,-3.74922
Sweden,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,60.128161,18.643501
Switzerland,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,8.0,46.818188,8.227512
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,23.69781,120.960515
Thailand,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,6.0,15.870032,100.992541
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,23.424076,53.847818
United Kingdom,0.0,0.0,1.0,1.0,0.0,9.0,26.0,20.0,12.0,69.0,55.378051,-3.435973
United States,0.0,3.0,4.0,2.0,8.0,32.0,39.0,40.0,25.0,153.0,37.09024,-95.712891
